q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
4 or more times a week ,7 to 9 ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,"Yes, during the last year ","Yes, during the last year "
4 or more times a week ,1 or 2,Monthly,Never ,Never,Never ,Never,Never ,No,"Yes, during the last year "
Never,1 or 2,Never ,Never ,Never,Never ,Never,Never ,No," Yes, during the last year  "
2-4 times a month ,1 or 2,Never ,Never ,Never,Daily or almost daily ,Never,Never ,No,No 
2-4 times a month ,1 or 2,Monthly,Never ,Never,Never ,Never,Never ,No,"Yes, during the last year "
Monthly or less ,3 or 4 ,Never ,Daily or almost daily ,Daily or almost daily ,Never ,Never,Daily or almost daily ,"Yes, but not in the last year ","Yes, during the last year "
2-4 times a month ,1 or 2,Monthly,Never ,Never,Daily or almost daily ,Never,Never ,No,No 
4 or more times a week ,1 or 2,Never ,Never ,Never,Never ,Never,Never ,No,"Yes, during the last year "
2-3 times a week ,3 or 4 ,Monthly,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,"Yes, but not in the last year ","Yes, during the last year "
Monthly or less ,3 or 4 ,Never ,Never ,Never,Never ,Never,Daily or almost daily ,"Yes, but not in the last year ","Yes, during the last year "
4 or more times a week ,7 to 9 ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,Daily or almost daily ,"Yes, during the last year ","Yes, during the last year "
4 or more times a week ,1 or 2,Monthly,Never ,Never,Never ,Never,Never ,No,"Yes, during the last year "
Never,1 or 2,Never ,Never ,Never,Never ,Never,Never ,No," Yes, during the last year  "
2-4 times a month ,1 or 2,Never ,Never ,Never,Daily or almost daily ,Never,Never ,No,No 
2-4 times a month ,1 or 2,Monthly,Never ,Never,Never ,Never,Never ,No,"Yes, during the last year "
Monthly or less ,3 or 4 ,Never ,Daily or almost daily ,Daily or almost daily ,Never ,Never,Daily or almost daily ,"Yes, but not in the last year ","Yes, during the last year "
2-4 times a month ,1 or 2,Monthly,Never ,Never,Daily or almost daily ,Never,Never ,No,No 
